step,time,time_cost
start,0.0,0.0
load_data,0.483,0.483
qc,4.411,3.927
normalize,5.237,0.826
hvg,11.405,6.168
pca,20.42,9.015
data_to_gpu,20.49,0.07
harmony,39.403,18.913
neighbors,39.792,0.389
umap,40.072,0.28
leiden,48.183,8.111
