step,time,time_cost
start,0.0,0.0
load_data,0.573,0.573
data_to_gpu,0.989,0.417
qc,1.253,0.264
normalize,1.258,0.004
hvg,1.551,0.294
pca,1.986,0.435
harmony,4.187,2.2
neighbors,4.467,0.281
umap,4.707,0.24
leiden,11.846,7.139
