step,time,time_cost
start,0.0,0.0
load_data,16.076,16.076
qc,173.104,157.028
normalize,190.156,17.052
hvg,337.941,147.785
pca,524.16,186.219
data_to_gpu,525.766,1.607
harmony,549.251,23.485
neighbors,583.342,34.09
umap,587.739,4.397
leiden,598.682,10.944
