step,time,time_cost
start,0.0,0.0
load_data,14.109,14.109
qc,172.455,158.347
normalize,189.659,17.203
hvg,338.982,149.323
pca,525.91,186.928
data_to_gpu,527.526,1.616
harmony,628.766,101.24
neighbors,662.979,34.213
umap,667.418,4.439
leiden,684.919,17.501
