step,time_cost
start,0.0
load_data,0.43454480171203613
data_to_gpu,0.8508079051971436
qc,1.0922093391418457
normalize,1.0972795486450195
hvg,1.335134506225586
pca,20.428841829299927
harmony,22.05703115463257
neighbors,22.335299015045166
umap,22.576663732528687
leiden,29.361212015151978
