step,time,time_cost
start,0.0,0.0
load_data,0.884,0.884
data_to_gpu,0.884,0.001
qc,8.393,7.509
normalize,9.479,1.086
hvg,19.99,10.511
pca,34.838,14.847
harmony,166.245,131.407
neighbors,319.737,153.492
umap,407.211,87.474
leiden,423.449,16.238
