step,time,time_cost
start,0.0,0.0
load_data,0.473,0.473
data_to_gpu,0.891,0.418
qc,1.141,0.25
normalize,1.146,0.005
hvg,1.407,0.261
pca,1.893,0.486
harmony,10.108,8.215
neighbors,10.399,0.291
umap,10.645,0.246
leiden,17.746,7.101
