step,time,time_cost
start,0.0,0.0
load_data,26.014,26.014
data_to_gpu,26.015,0.001
qc,297.611,271.596
normalize,318.927,21.316
hvg,631.426,312.499
pca,901.001,269.574
harmony,9719.067,8818.067
neighbors,10055.574,336.506
umap,12459.873,2404.3
leiden,16253.051,3793.178
